Temperature,Humidity,Rainfall,Crop,soil_moisture,soil_type,growth_stage,irrigation_required,water_required_mm
20.87974371,82.00274423,202.9355362,Rice,48,Clay,Mid,0,0
21.77046169,80.31964408,226.6555374,Rice,38,Loamy,Late,0,0
23.00445915,82.3207629,263.9642476,Rice,24,Clay,Late,0,0
26.49109635,80.15836264,242.8640342,Rice,52,Loamy,Late,0,0
20.13017482,81.60487287,262.7173405,Rice,17,Clay,Early,0,0
23.05804872,83.37011772,251.0549998,Rice,30,Loamy,Early,0,0
22.70883798,82.63941394,271.3248604,Rice,48,Sandy,Early,0,0
20.27774362,82.89408619,241.9741949,Rice,28,Loamy,Late,0,0
24.51588066,83.5352163,230.4462359,Rice,32,Loamy,Mid,0,0
23.22397386,83.03322691,221.2091958,Rice,20,Clay,Mid,0,0
26.52723513,81.41753846,264.6148697,Rice,20,Loamy,Mid,0,0
23.97898217,81.45061596,250.0832336,Rice,33,Sandy,Mid,0,0
26.80079604,80.88684822,284.4364567,Rice,45,Sandy,Early,0,0
24.01497622,82.05687182,185.2773389,Rice,49,Clay,Early,0,0
25.66585205,80.66385045,209.5869708,Rice,33,Sandy,Late,0,0
24.28209415,80.30025587,231.0863347,Rice,12,Loamy,Late,0,0
21.58711777,82.7883708,276.6552459,Rice,31,Sandy,Mid,0,0
23.79391957,80.41817957,206.2611855,Rice,11,Clay,Early,0,0
21.8652524,80.1923008,224.5550169,Rice,33,Loamy,Mid,0,0
23.57943626,83.58760316,291.2986618,Rice,53,Clay,Late,0,0
21.32504158,80.47476396,185.4974732,Rice,39,Loamy,Late,0,0
25.15745531,83.11713476,231.3843163,Rice,47,Sandy,Mid,0,0
21.94766735,80.97384195,213.3560921,Rice,11,Clay,Late,0,0
21.0525355,82.67839517,233.1075816,Rice,30,Clay,Mid,0,0
23.48381344,81.33265073,224.0581164,Rice,42,Loamy,Early,0,0
25.0756354,80.52389148,257.0038865,Rice,21,Clay,Mid,1,25
26.35927159,84.04403589,271.3586137,Rice,31,Loamy,Early,0,0
24.52922681,80.54498576,260.2634026,Rice,53,Loamy,Early,0,0
20.77576147,84.49774397,240.0810647,Rice,34,Loamy,Late,0,0
22.30157427,80.64416466,197.9791215,Rice,58,Loamy,Late,0,0
21.44653958,84.94375962,272.2017204,Rice,36,Sandy,Late,0,0
22.17931888,80.33127223,200.0882787,Rice,51,Loamy,Mid,0,0
24.52783742,82.73685569,224.6757231,Rice,37,Clay,Mid,0,0
20.26707606,81.63895217,270.4417274,Rice,25,Sandy,Late,0,0
25.7354293,83.88266234,233.1321372,Rice,24,Clay,Mid,0,0
26.79533926,82.1480873,193.3473987,Rice,56,Sandy,Late,0,0
26.75754171,81.17734011,272.2999056,Rice,53,Loamy,Mid,0,0
23.86330467,83.15250801,285.2493645,Rice,12,Sandy,Early,1,25
21.01944696,82.95221726,298.4018471,Rice,46,Sandy,Early,0,0
24.17298839,83.7287574,257.0343554,Rice,16,Clay,Late,1,20
22.78133816,82.06719137,248.7183228,Rice,30,Clay,Mid,0,0
25.62980105,83.52842314,209.9001977,Rice,18,Loamy,Mid,0,0
25.59704938,80.14509262,200.834898,Rice,48,Sandy,Early,0,0
23.83067496,84.81360127,298.5601175,Rice,27,Sandy,Early,0,0
26.31355498,82.36698992,265.5355937,Rice,13,Sandy,Late,0,0
24.8972823,80.52586088,183.6793207,Rice,34,Loamy,Early,0,0
24.958779,84.47963372,196.9560008,Rice,23,Loamy,Late,0,0
23.24113501,84.59201843,233.0453455,Rice,59,Loamy,Early,0,0
21.66628296,80.70960551,210.8142087,Rice,18,Loamy,Early,0,0
24.63544858,80.41363018,253.7202781,Rice,35,Loamy,Mid,0,0
23.43121862,83.06310136,219.9048349,Rice,11,Clay,Early,0,0
20.0454142,80.3477562,208.5810155,Rice,29,Sandy,Early,0,0
23.85724032,82.22572988,195.0948311,Rice,37,Sandy,Late,0,0
21.97199397,81.89918197,227.3637009,Rice,56,Sandy,Early,0,0
26.22916897,83.83625819,286.5083725,Rice,16,Sandy,Late,0,0
23.44676801,84.79352417,283.9338466,Rice,53,Sandy,Early,0,0
25.65553461,83.47021081,217.3788583,Rice,17,Sandy,Early,0,0
24.44345477,82.45432595,267.9761948,Rice,56,Sandy,Late,0,0
20.2801937,82.1235421,191.9535738,Rice,44,Sandy,Mid,0,0
21.7238313,80.2389895,277.9626192,Rice,23,Clay,Late,0,0
20.41447029,82.20802629,245.1511304,Rice,26,Sandy,Late,0,0
25.75528612,83.51827127,245.6626799,Rice,45,Clay,Late,0,0
20.61521424,83.77345559,279.5451717,Rice,59,Loamy,Mid,0,0
21.84106875,80.72886384,202.3838319,Rice,49,Sandy,Early,0,0
20.08369642,83.29114712,263.6372176,Rice,13,Loamy,Late,0,0
24.45802087,82.74835604,182.5616319,Rice,11,Loamy,Late,1,20
21.14347496,80.33502926,198.6730942,Rice,15,Loamy,Mid,0,0
25.78720567,82.11124033,243.5120414,Rice,51,Clay,Late,0,0
23.64124821,80.28597873,263.1103304,Rice,13,Loamy,Early,0,0
23.43191632,80.56887849,269.5039162,Rice,38,Loamy,Mid,0,0
24.97669518,83.891805,204.8001847,Rice,27,Loamy,Early,0,0
22.72791041,82.1706881,260.8875056,Rice,35,Sandy,Early,0,0
24.87300744,82.84022551,295.6094492,Rice,53,Sandy,Mid,0,0
21.32376327,83.00320459,192.3197536,Rice,43,Clay,Late,0,0
26.29465461,84.56919326,257.4914906,Rice,19,Clay,Early,0,0
22.2286982,81.85872947,278.0791793,Rice,45,Sandy,Early,0,0
26.73072391,81.78596776,280.4044392,Rice,23,Clay,Early,0,0
